URI_Name;Provincia;Canton;Parroquia;Nombre;Direccion;Tipo;Regimen Escolar;Modalidad;Jornada Laboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
COLEGIODEBACHILLERATOPEDROVICTORFALCONI;Loja;CATAMAYO;ZAMBI;COLEGIO DE BACHILLERATO PEDRO VICTOR FALCONI;   Calle sin nombre entrada a la parroquia Colina Alta;FiscalHighSchool;Costa;Presencial;Matutina;4;5;9;1;33;48;81
COLEGIODEBACHILLERATOPINDAL;Loja;PINDAL;PINDAL;COLEGIO DE BACHILLERATO PINDAL;   BARRIO EL PANECILLO;FiscalHighSchool;Costa;Presencial;Matutina;24;12;36;4;402;453;855
COLEGIODEBACHILLERATOPRESIDENTEISIDROAYORA;Loja;LOJA;SUCRE;COLEGIO DE BACHILLERATO PRESIDENTE ISIDRO AYORA;AVENIDA VIRGILIO RODAS  SIN NOMBRE ;FiscalHighSchool;Sierra;Presencial;Nocturno;2;5;7;1;52;68;120
COLEGIODEBACHILLERATOPROCERJOSEPICOITA;Loja;CELICA;CRUZPAMBA;COLEGIO DE BACHILLERATO PROCER JOSE PICOITA;   PARROQUIA CRUZPAMBA;FiscalHighSchool;Costa;Presencial;Matutina;5;6;11;3;85;113;198
COLEGIODEBACHILLERATORAFAELRODRIGUEZPALACIOS;Loja;LOJA;MALACATOS(VALLADOLID);COLEGIO DE BACHILLERATO RAFAEL RODRIGUEZ PALACIOS;   VIA A MALACATOS;FiscalHighSchool;Sierra;Presencial;Vespertina,Nocturno;12;4;16;3;96;154;250
COLEGIODEBACHILLERATORAMONRIOFRIOBUSTAMANTE;Loja;PINDAL;CHAQUINAL;COLEGIO DE BACHILLERATO RAMON RIOFRIO BUSTAMANTE;   CHAQUINAL;FiscalHighSchool;Costa;Presencial;Matutina;4;5;9;2;60;85;145
COLEGIODEBACHILLERATOROSAHERLINDAGARCIADEGARCIA;Loja;ESPINDOLA;AMALUZA;COLEGIO DE BACHILLERATO ROSA HERLINDA GARCIA DE GARCIA;LUIS CORDERO  LUIS CORDERO ;FiscalHighSchool;Costa;Presencial;Matutina;10;4;14;2;149;148;297
COLEGIODEBACHILLERATORVDOJORGESANCHEZMORENO;Loja;MACARA;SABIANGO(LACAPILLA);COLEGIO DE BACHILLERATO RVDO JORGE SANCHEZ MORENO;   CALLE MACARA Y AV  MACARA;FiscalHighSchool;Costa;Presencial;Matutina;5;5;10;6;17;16;33
COLEGIODEBACHILLERATOSANPEDRODEVILCABAMBA;Loja;LOJA;SANPEDRODEVILCABAMBA;COLEGIO DE BACHILLERATO SAN PEDRO DE VILCABAMBA;   BARRIO PANECILLO;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;6;7;13;4;94;88;182
COLEGIODEBACHILLERATOSANVICENTEFERRER;Loja;LOJA;CHUQUIRIBAMBA;COLEGIO DE BACHILLERATO SAN VICENTE FERRER;   BARRIO SAN VICENTE;FiscomitionalHighSchool;Sierra;Presencial;Matutina;13;10;23;4;92;132;224
COLEGIODEBACHILLERATOTNTEMAXIMILIANORODRIGUEZ;Loja;CELICA;POZUL(SANJUANDEPOZUL);COLEGIO DE BACHILLERATO TNTE MAXIMILIANO RODRIGUEZ;   PARROQUIA POZUL;FiscalHighSchool;Costa;Presencial;Matutina;9;10;19;5;160;134;294
COLEGIODEBACHILLERATOTRECEDENOVIEMBRE;Loja;CELICA;SABANILLA;COLEGIO DE BACHILLERATO TRECE DE NOVIEMBRE;   PARROQUIA SABANILLA;FiscalHighSchool;Costa;Presencial;Matutina;5;6;11;4;71;87;158
COLEGIODEBACHILLERATOVILCABAMBA;Loja;LOJA;VILCABAMBA(VICTORIA);COLEGIO DE BACHILLERATO VILCABAMBA;   AV  DIEGO VACA DE VEGA  Y LA PAZ KM 1 VIA A YAMBURARA;FiscalHighSchool;Sierra;Presencial;Matutina,Nocturno;24;10;34;5;313;300;613
COLEGIODEBACHILLERATOZAPOTILLO;Loja;ZAPOTILLO;ZAPOTILLO;COLEGIO DE BACHILLERATO ZAPOTILLO;CALLE PALETILLAS  9 DE OCTUBRE ;FiscalHighSchool;Costa;Presencial;Matutina;10;8;18;4;133;129;262
COLEGIONACIONALNOCTURNOCATAMAYO;Loja;CATAMAYO;CATAMAYO;COLEGIO NACIONAL NOCTURNO CATAMAYO;18 DE AGOSTO 04-55 ENTRE OLMEDO Y EUGENIO ESPEJO BARRIO EL PORVENIR ;FiscalHighSchool;Sierra;Presencial;Nocturno;11;15;26;2;220;276;496
ESCUELADEEDUCACIONBASICACABOCASTILLO;Loja;ESPINDOLA;BELLAVISTA;ESCUELA DE EDUCACION BASICA CABO CASTILLO;   BARRIO JIBIRUCHE;FiscalHighSchool;Costa;Presencial;Matutina;7;7;14;0;92;120;212
COLEGIODEBACHILLERATOFRONTERASUR;Loja;PALTAS;CANGONAMA;COLEGIO DE BACHILLERATO FRONTERA SUR;   A 50 METROS DEL PARQUE;FiscalHighSchool;Costa;Presencial;Matutina;2;7;9;2;32;34;66
ESCUELADEEDUCACIONBASICAGENERALMOISESOLIVA;Loja;CALVAS;UTUANA;ESCUELA DE EDUCACION BASICA GENERAL MOISES OLIVA;   PARROQUIA UTUANA;FiscalHighSchool;Costa;Presencial;Matutina;12;5;17;4;89;107;196
ESCUELADEEDUCACIÓNBÁSICALAURODAMERVALAYORAN1;Loja;LOJA;SANSEBASTIAN;ESCUELA DE EDUCACIÓN BÁSICA LAURO DAMERVAL AYORA N 1;AVENIDA BENJAMIN CARRION 21197 PABLO PALACIO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;41;15;56;2;510;687;1197
COLEGIODEBACHILLERATOMANUELJOSEJARAMILLO;Loja;PALTAS;CASANGA;COLEGIO DE BACHILLERATO MANUEL  JOSE  JARAMILLO;   CENTRO PARROQUIA CASANGA - TRAS LA IGLESIA;FiscalHighSchool;Costa;Presencial;Matutina;4;5;9;4;58;49;107
COLEGIODEBACHILLERATOMACANDAMINE;Loja;PALTAS;CASANGA;COLEGIO DE BACHILLERATO MACANDAMINE;   BARRIO MACANDAMINE;FiscalHighSchool;Costa;Presencial;Matutina;5;3;8;3;38;32;70
INSTITUTOTECNOLOGICOSUPERIORCARIAMANGA;Loja;CALVAS;CARIAMANGA;INSTITUTO TECNOLOGICO SUPERIOR CARIAMANGA;JOSE ANGEL PALACIOS  GONZALEZ SUARES Y  MIGUEL PERALTA ;FiscalHighSchool;Costa;Presencial;Matutina;25;25;50;9;189;211;400
JOSEMARIAVELAZSJEXTENSIONN2CATAMAYO;Loja;CATAMAYO;CATAMAYO;JOSE MARIA VELAZ SJ EXTENSION N2 CATAMAYO;NUEVE DE OCTUBRE 00 BOLIVAR Y EUGENIO ESPEJO ;LaicHighSchool;Sierra;Distancia;Matutina,Vespertina;7;5;12;5;42;39;81
RAMONSAMANIEGOPALACIOS;Loja;PUYANGO;ELARENAL;RAMON SAMANIEGO PALACIOS;   VIA PRINCIPAL DE EL ARENAL;FiscalHighSchool;Costa;Presencial;Matutina;5;5;10;3;64;64;128
UNIDADEDUCATIVAFISCOMISIONALDOMINGOCELI;Loja;PALTAS;CATACOCHA;UNIDAD EDUCATIVA FISCOMISIONAL DOMINGO CELI;DOMINGO CELI 7302 PALTAS E INDEPENDENCIA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;34;8;42;3;479;373;852
TECNICOPUYANGO;Loja;PUYANGO;ALAMOR;TECNICO PUYANGO;GABRIEL CAIZA  SUCRE ;FiscalHighSchool;Costa;Presencial;Matutina;12;19;31;6;169;189;358
U E ELOYALFARO;Loja;CALVAS;SANVICENTE;U  E  ELOY ALFARO;   BARRIO SAN VICENTE;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;39;36;75;13;412;543;955
UNIDADEDUCATIVAPEDROVICENTEMALDONADO;Loja;SARAGURO;ELPARAISODECELEN;UNIDAD EDUCATIVA PEDRO VICENTE MALDONADO;   CENTRO CELEN  VAUDILIO ARIAS Y VEINTE Y CUATRO  DE MAYO;FiscalHighSchool;Sierra;Presencial;Matutina;12;8;20;0;170;175;345
UNIDADEDUCATIUVANAMBACOLA;Loja;GONZANAMA;NAMBACOLA;UNIDAD EDUCATIUVA NAMBACOLA;   A DOSCIENTOS METROS DEL PARQUE CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;6;15;21;6;121;138;259
UNIDADEDUCATIVACORAZONDEMARIA;Loja;LOJA;ELCISNE;UNIDAD EDUCATIVA  CORAZON DE MARIA;   JUNTO AL CAMPO MARIANO;FiscomitionalHighSchool;Sierra;Presencial;Matutina;12;6;18;2;90;99;189
UNIDADEDUCATIVAFISCOMISIONALJULIOERNESTOCELI;Loja;ESPINDOLA;JIMBURA;UNIDAD EDUCATIVA  FISCOMISIONAL JULIO ERNESTO CELI;   CALLE 24 DE ABRIL Y AVENIDA AMALUZA;FiscomitionalHighSchool;Costa;Presencial;Matutina;10;8;18;5;145;142;287
UNIDADEDUCATIVAMARIAAUXILIADORA;Loja;CALVAS;CARIAMANGA;UNIDAD EDUCATIVA  MARIA AUXILIADORA;   BARRIO  CENTRAL;FiscomitionalHighSchool;Costa;Presencial;Matutina;26;8;34;3;501;153;654
UNIDADEDUCATIVABERNARDOVALDIVIESO;Loja;LOJA;SANSEBASTIAN;UNIDAD EDUCATIVA BERNARDO VALDIVIESO;AV  EDUARDO KINGMAN 00 PABLO NERUDA Y CATAMAYO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;91;75;166;31;1 257;2239;3496
UNIDADEDUCATIVABRASIL;Loja;ZAPOTILLO;ZAPOTILLO;UNIDAD EDUCATIVA BRASIL;   BARRIO CEIBA CHICA;FiscalHighSchool;Costa;Presencial;Matutina;8;7;15;4;112;115;227
COLEGIODEBACHILLERATO29DEMAYO;Loja;PALTAS;GUACHANAMA;COLEGIO DE BACHILLERATO 29 DE MAYO;   PARROQUIA GUACHANAMA BARRIO CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;6;3;9;4;14;44;58
UNIDADEDUCATIVACOMUNITARIAINTERCULTURALBILINGUERUMInAHUI;Loja;LOJA;SANLUCAS;UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE RUMIÑAHUI;   BARRIO PICHIG;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;11;6;17;1;101;102;203
UNIDADEDUCATIVACOTOPAXI;Loja;ESPINDOLA;SANTATERESITA;UNIDAD EDUCATIVA COTOPAXI;   VIA AMALUZA CARIAMANGA BARRIO CANGOCHARA;FiscalHighSchool;Costa;Presencial;Matutina;6;10;16;0;88;89;177
UNIDADEDUCATIVADELMILENIO5DEJUNIO;Loja;MACARA;MACARA(MANUELENRIQUERENGELSUQUILANDA);UNIDAD EDUCATIVA DEL MILENIO  5 DE JUNIO;AURIA MARIA ARIAS  MAXIMO ARTURO ROMAN Y ZOILA HERRERA ;FiscalHighSchool;Costa;Presencial;Matutina;18;4;22;2;188;208;396
UNIDADEDUCATIVADRMANUELAGUSTINCABRERALOZANO;Loja;LOJA;SANSEBASTIAN;UNIDAD EDUCATIVA DR MANUEL AGUSTIN CABRERA LOZANO;CALLE PABLO PALACIOS  BARRIO SANTA TERESITA   SE UTILIZA LA INSTALACIONES DEL COLEGIO DE BACHILLERATO   VEINTE Y SIETE  DE ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;24;18;42;4;381;495;876
UNIDADEDUCATIVAEXPERIMENTALPARACIEGOSLUISBRAILLE;Loja;LOJA;SANSEBASTIAN;UNIDAD EDUCATIVA EXPERIMENTAL PARA CIEGOS LUIS BRAILLE;BUGANVILLAS 2427 AVENIDA GOBERNACION DE MAINAS ;FiscalHighSchool;Sierra;Presencial;Nocturno;4;6;10;5;14;19;33
COLEGIODEBACHILLERATOTCNELLAUROGUERRERO;Loja;PALTAS;LAUROGUERRERO;COLEGIO DE BACHILLERATO TCNEL LAURO GUERRERO;   BARRIO EL CASTILLO;FiscalHighSchool;Costa;Presencial;Matutina;4;6;10;5;49;66;115
ESCUELADEEDUCACIONBASICALATACUNGA;Loja;SARAGURO;LLUZHAPA;ESCUELA DE EDUCACION BASICA LATACUNGA;   PARROQUIA  LLUZHAPA;FiscalHighSchool;Costa;Presencial;Matutina;9;5;14;0;86;116;202
COLEGIODEBACHILLERATOSEGUNDOCUEVACELI;Loja;PALTAS;LOURDES;COLEGIO DE BACHILLERATO SEGUNDO CUEVA CELI;   BARRIO SAN VICENTE DEL RIO;FiscalHighSchool;Costa;Presencial;Matutina;2;4;6;3;22;27;49
UNIDADEDUCATIVAFISCOMISIONALLADOLOROSA;Loja;LOJA;ELSAGRARIO;UNIDAD EDUCATIVA FISCOMISIONAL LA DOLOROSA;JOSE ANTONIO EGUIGUREN 11-92 OLMEDO ;ReligiousHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;42;65;107;12;178;1801;1979
UNIDADEDUCATIVAFISCOMISIONALLAINMACULADA;Loja;LOJA;ELSAGRARIO;UNIDAD EDUCATIVA FISCOMISIONAL LA INMACULADA;BOLIVAR 09-35 ROCAFUERTE Y MIGUEL RIOFRIO ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;58;15;73;15;1 332;92;1424
UNIDADEDUCATIVAFISCOMISIONALMARISTA;Loja;MACARA;MACARA(MANUELENRIQUERENGELSUQUILANDA);UNIDAD EDUCATIVA FISCOMISIONAL MARISTA;AVENIDA PANAMERICANA 07-03 AVENIDA MARISTA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;33;29;62;12;506;554;106
